athlete,date,location,type,distance_mi,duration_h,moving_h,alt_median_ft,alt_gain_ft,temp_avg_f,avg_hr,max_hr,hr_p995,avg_w,np_w,kj,vi,ef,device_ftp,p5s,p1m,p5m,p10m,p20m,p60m,vo2_est,hr_at_120w,n_120,hr_at_150w,n_150,decoupling_pct,hrr60,hrr_from,hrr_n,cad_avg,cad_pct_ge85,pct_below_lt1,pct_aero_tempo,pct_threshold,pct_supra,has_power,file
JA,2026-05-26,Park City,MTB,20.0,1.88,1.68,6532.0,3932.0,61.0,123.0,136.0,135.0,129.0,141.0,851.0,1.09,1.147,237.0,501.0,196.0,153.0,145.0,141.0,134.0,25.3,123.0,1122,126.0,2015,-0.0,,,0,74.0,7.0,100.0,0.0,0.0,0.0,1,2026-05-26 Park City MTB 20mi.fit
JA,2026-05-27,Park City,MTB,1.0,0.5,0.17,6640.0,3285.0,81.0,,,,97.0,130.0,81.0,1.34,,237.0,447.0,185.0,106.0,77.0,52.0,,19.7,,0,,0,,,,0,58.0,2.0,,,,,1,2026-05-27 Park City MTB 1mi.fit
JA,2026-05-27,Park City,MTB,5.0,0.78,0.47,6619.0,3585.0,68.0,,,,159.0,217.0,352.0,1.36,,237.0,588.0,331.0,241.0,231.0,188.0,,35.7,,0,,0,,,,0,70.0,24.0,,,,,1,2026-05-27 Park City MTB 5mi.fit
JA,2026-05-28,Park City,MTB,7.0,1.18,0.82,7427.0,4387.0,66.0,153.0,179.0,178.0,149.0,199.0,567.0,1.34,1.301,237.0,767.0,332.0,229.0,220.0,202.0,153.0,34.3,159.0,166,160.0,380,-3.2,21.0,162.0,3,69.0,15.0,19.0,19.0,47.0,16.0,1,2026-05-28 Park City MTB 7mi.fit
JA,2026-05-30,Silver Rush Recon,?,33.0,7.3,3.65,10985.0,9852.0,,147.0,175.0,170.0,95.0,146.0,,1.54,0.997,,492.0,274.0,188.0,170.0,146.0,132.0,29.4,147.0,1504,153.0,2920,-2.1,26.0,158.0,7,66.0,4.0,26.0,48.0,21.0,5.0,1,2026-05-30 Silver Rush Recon 33mi.fit
JA,2026-06-01,Memphis,Road,30.0,2.17,0.0,308.0,714.0,84.0,131.0,145.0,142.0,,,,,,,,,,,,,,,0,,0,,,,0,,,96.0,4.0,0.0,0.0,0,2026-06-01 Memphis Road 30mi.fit
JA,2026-06-02,Memphis,Road,40.0,2.85,0.0,293.0,849.0,73.0,128.0,146.0,143.0,,,,,,,,,,,,,,,0,,0,,,,0,,,97.0,3.0,0.0,0.0,0,2026-06-02 Memphis Road 40mi.fit
JA,2026-06-08,Park City,MTB,41.0,6.09,4.03,8111.0,7358.0,64.0,146.0,184.0,180.0,128.0,166.0,2407.0,1.3,1.137,237.0,596.0,282.0,239.0,220.0,165.0,158.0,35.5,145.0,898,138.0,3589,-6.0,23.0,169.0,13,73.0,17.0,33.0,40.0,15.0,12.0,1,2026-06-08 Park City MTB 41mi.fit
JA,2026-06-10,Memphis,Road,23.0,1.71,0.0,295.0,594.0,86.0,137.0,151.0,149.0,,,,,,,,,,,,,,,0,,0,,,,0,,,59.0,41.0,0.0,0.0,0,2026-06-10 Memphis Road 23mi.fit
JA,2026-06-13,Memphis,Road,7.0,0.5,0.0,282.0,332.0,84.0,153.0,181.0,180.0,,,,,,,,,,,,,,,0,,0,,,,0,,,29.0,14.0,20.0,37.0,0,2026-06-13 Memphis Road 7mi.fit
